name,source,hungerCode,category
Grapefruit,TreeCrop,REG_3,Fruits
Kumquat,TreeCrop,REG_3,Fruits
Lemon,TreeCrop,REG_3,Fruits
Lime,TreeCrop,REG_3,Fruits
Mango,TreeCrop,REG_3,Fruits
Nectarine,TreeCrop,REG_3,Fruits
Nutmeg,TreeCrop,REG_1,Crops
Orange,TreeCrop,REG_3,Fruits
Peach,TreeCrop,REG_3,Fruits
Pear,TreeCrop,REG_3,Fruits
Pecan,TreeCrop,REG_3,Nuts
Persimmon,TreeCrop,REG_3,Fruits
Plum,TreeCrop,REG_3,Fruits
Starfruit,TreeCrop,REG_3,Fruits
Walnut,TreeCrop,REG_3,Nuts
Cinnamon,Tree,,Crops
Anchovy,Seafood,REG_1,
Calamari,Seafood,REG_1,
Clam,Seafood,REG_3,
Crab,Seafood,REG_1,
Glowing_Calamari,Seafood,REG_3,
Oyster,Seafood,REG_3,
Roe,Seafood,REG_1,
Shrimp,Seafood,REG_1,
Tuna,Seafood,REG_3,
Baked_Beans,Furnace,REG_5,
Baked_Sweet_Potato,Furnace,REG_5,
Baked_Yam,Furnace,REG_5,
Caramel,Furnace,,
Cooked_Anchovy,Furnace,REG_4,
Cooked_Bacon,Furnace,REG_7,
Cooked_Calamari,Furnace,REG_5,
Cooked_Shrimp,Furnace,REG_5,
Cooked_Tuna,Furnace,REG_6,
Molasses,Furnace,,
Popcorn,Furnace,REG_3,
Raisins,Furnace,REG_5,
Toast,Furnace,REG_7,
Apple_Juice,Juice,REG_5,
Cranberry_Juice,Juice,REG_5,
Grape_Juice,Juice,REG_5,
Melon_Juice,Juice,REG_5,
Orange_Juice,Juice,REG_5,
Pineapple_Juice,Juice,REG_5,
Saguaro_Juice,Juice,REG_5,
Tomato_Juice,Juice,REG_5,
Apricot_Jam,Jam,REG_3,
Blackberry_Jam,Jam,REG_3,
Blueberry_Jam,Jam,REG_3,
Cherry_Jam,Jam,REG_3,
Elderberry_Jam,Jam,REG_3,
Grape_Jam,Jam,REG_3,
Peach_Jam,Jam,REG_3,
Raspberry_Jam,Jam,REG_3,
Strawberry_Jam,Jam,REG_3,
Banana_Smoothie,Smoothie,REG_7,
Strawberry_Smoothie,Smoothie,REG_7,
Mango_Ice_Cream,IceCream,REG_10,
Pecan_Ice_Cream,IceCream,REG_10,
Strawberry_Ice_Cream,IceCream,REG_10,
Vanilla_Ice_Cream,IceCream,REG_10,
Apple_Pie,Pie,REG_14,
Cherry_Pie,Pie,REG_14,
Pecan_Pie,Pie,REG_14,
Rhubarb_Pie,Pie,REG_14,
Cooking_Pot,Utensil,,
Food_Press,Utensil,,
Frying_Pan,Utensil,,
Knife,Utensil,,
Mortar_And_Pestle,Utensil,,
Paprika,Item,,
Salt,Item,,
Olive_Oil,Item,,
Cheese,Item,REG_5,
Flour,Item,,
Butter,Item,REG_3,
Noodle,Item,,
Tofu,Item,REG_5,
Chocolate,Item,REG_5,
Tortilla,Item,REG_5,
Soy_Sauce,Item,,
Dough,Item,,
Ravioli,Item,,
Salsa,Item,REG_5,
Artichoke_Dip,Item,REG_5,
Pepperoni,Item,REG_5,
Coffee,Drink,REG_5,
Lemonade,Drink,REG_5,
Limeade,Drink,REG_5,
Soy_Milk,Drink,REG_5,
Kale_Smoothie,Drink,REG_14,
Fruit_Smoothie,Drink,REG_7,
Chocolate_Milkshake,Drink,REG_7,
Beer,Drink,REG_7,
Wine,Drink,REG_7,
Mead,Drink,REG_7,
Rum,Drink,REG_7,
Pumpkin_Spice_Latte,Drink,REG_14,
Beef_Jerky,Item,REG_5,
Pork_Jerky,Item,REG_5,
Kale_Chips,Item,REG_5,
Potato_Chips,Item,REG_5,
Steamed_Rice,Item,REG_5,
French_Fries,Item,REG_5,
Sweet_Potato_Fries,Item,REG_5,
Onion_Rings,Item,REG_5,
Doughnut,Item,REG_5,
Cucumber_Salad,Soup,REG_10,
Caesar_Salad,Soup,REG_10,
Leafy_Salad,Soup,REG_10,
Fruit_Salad,Soup,REG_10,
Veggie_Salad,Soup,REG_10,
Pork_And_Beans,Soup,REG_10,
Oatmeal,Soup,REG_7,
Leek_Soup,Soup,REG_7,
Yoghurt,Soup,REG_5,
Saucy_Chips,Soup,REG_7,
Roasted_Nuts,Item,REG_5,
Trail_Mix,Item,REG_10,
Protein_Bar,Item,REG_10,
Nougat,Item,REG_7,
Scrambled_Eggs,Item,REG_7,
Buttered_Toast,Item,REG_9,
Toast_With_Jam,Item,REG_9,
Ham_Sandwich,Item,REG_10,
Peanut_Butter_And_Jam,Item,REG_10,
Blt,Item,REG_10,
Grilled_Cheese,Item,REG_7,
Tuna_Sandwich,Item,REG_10,
Cheeseburger,Item,REG_10,
Hamburger,Item,REG_10,
Tofuburger,Item,REG_10,
Pizza,Item,REG_10,
Supreme_Pizza,Item,REG_18,
Cheese_Pizza,Item,REG_14,
Pineapple_Pepperoni_Pizza,Item,REG_18,
Lemon_Chicken,Item,REG_10,
Fried_Chicken,Item,REG_10,
Chicken_And_Noodles,Item,REG_10,
Chicken_And_Dumplings,Item,REG_10,
Tofu_And_Dumplings,Item,REG_14,
Spaghetti_Squash,Item,REG_10,
Chicken_And_Rice,Item,REG_10,
Taco,Item,REG_10,
Sushi,Item,REG_10,
Egg_Roll,Item,REG_10,
Cashew_Chicken,Item,REG_14,
Yam_Jam,Item,REG_14,
Banana_Cream_Pie,Item,REG_14,
Candy_Corn,Item,REG_5,
Rum_Raisin_Ice_Cream,Item,REG_14,
Cheese_Cake,Item,REG_14,
Brownies,Item,REG_10,
Snicker_Doodle,Item,REG_7,
Banana_Nut_Bread,Item,REG_10,
Candied_Nuts,Item,REG_5,
Almond_Brittle,Item,REG_7,
Oatmeal_Cookie,Item,REG_5,
Nutty_Cookie,Item,REG_5,
Burrito,Item,REG_10,
Tostada,Item,REG_10,
Horchata,Drink,REG_10,
Carnitas,Item,REG_10,
Fajitas,Item,REG_10,
Enchilada,Item,REG_10,
Churros,Item,REG_5,
Tamales,Item,REG_14,
Tres_Leche_Cake,Item,REG_18,
Stuffed_Poblanos,Item,REG_14,
Chili_Relleno,Item,REG_14,
Crema,Item,REG_3,
Refried_Beans,Item,REG_7,
Chimichanga,Item,REG_14,
Quesadilla,Item,REG_10,
Corn_Husk,Item,,
Whipping_Cream,Item,,
Shepherds_Pie,Item,REG_18,
Beef_Wellington,Item,REG_18,
Fish_And_Chips,Item,REG_10,
Eton_Mess,Item,REG_10,
Tea,Drink,REG_5,
Cornish_Pasty,Item,REG_10,
Scones,Item,REG_10,
Figgy_Pudding,Item,REG_10,
Treacle_Tart,Item,REG_10,
Sticky_Toffee_Pudding,Item,REG_14,
Trifle,Item,REG_14,
Water_Bottle,Item,,
Milk_Bottle,Item,,
Ajvar,Item,REG_7,
Ajvar_Toast,Item,REG_14,
Avocado_Toast,Item,REG_10,
Beef_Stew,Item,REG_14,
Beef_Stir_Fry,Item,REG_14,
Buttered_Green_Beans,Item,REG_10,
Cheesy_Asparagus,Item,REG_10,
Chocolate_Ice_Cream,Item,REG_14,
Eggplant_Parmesan,Item,REG_18,
Fruit_Cake,Item,REG_10,
Grilled_Eggplant,Item,REG_10,
Kiwi_Sorbet,Item,REG_7,
Lemon_Coconut_Bar,Item,REG_7,
Nether_Wart_Stew,Item,REG_7,
Peanut_Butter,Item,REG_5,
Peanut_Butter_W_Celery,Item,REG_7,
Potato_Soup,Item,REG_10,
Ratatouille,Item,REG_18,
Raw_Bacon,Item,REG_1,
Rhubarb_Crisp,Item,REG_10,
Roasted_Asparagus,Item,REG_7,
Roasted_Radishes,Item,REG_7,
Roasted_Squash,Item,REG_7,
Roasted_Turnips,Item,REG_7,
Steamed_Broccoli,Item,REG_7,
Steamed_Green_Beans,Item,REG_7,
Stir_Fry,Item,REG_12,
Stuffed_Artichoke,Item,REG_18,
Toast_Sandwich,Item,REG_10,
Roasted_Pumpkin_Seeds,Item,REG_4,
Roasted_Sunflower_Seeds,Item,REG_4,
Pumpkin_Bars,Item,REG_6,
Corn_Bread,Item,REG_5,
Pumpkin_Soup,Soup,REG_10,
Meringue,Item,REG_6,
Cabbage_Roll,Item,REG_14,
Borscht,Item,REG_12,
Goulash,Item,REG_16,
Beetroot_Salad,Item,REG_10,
Candied_Kumquats,Item,REG_6,
Steamed_Crab,Item,REG_6,
Sea_Lettuce,Item,REG_1,
Deep_Fried_Shrimp,Item,REG_10,
Tuna_Roll,Item,REG_10,
Fried_Calamari,Item,REG_10,
Crab_Legs,Item,REG_11,
Steamed_Clams,Item,REG_11,
Grilled_Oysters,Item,REG_11,
Anchovy_Pizza,Item,REG_15,
Mashed_Potatoes,Item,REG_9,
Baked_Crepes,Item,REG_12,
Cinnamon_Roll,Item,REG_8,
Croque_Madame,Item,REG_14,
Croque_Monsieur,Item,REG_13,
Dauphine_Potatoes,Item,REG_12,
Fried_Frog_Legs,Item,REG_6,
Frog_Legs,Item,REG_3,
Ground_Pork,Item,REG_1,
Hashed_Brown,Item,REG_2,
Macaron,Item,REG_5,
Quiche,Item,REG_12,
Sausage,Item,REG_3,
Sunny_Side_Eggs,Item,REG_5,
Sweet_Crepes,Item,REG_8,
The_Big_Breakfast,ReferenceItem,REG_20,
Salt_Ore_Block,Block,,
Salt_Ore,ItemNameBlockItem,,
