name,source,category,hunger,saturation
Steamed Broccoli,Item,,7,9
Steamed Green Beans,Item,,7,9
Stir Fry,Item,,12,22
Stuffed Artichoke,Item,,18,44
Toast Sandwich,Item,,10,17
Roasted Pumpkin Seeds,Item,,4,3
Roasted Sunflower Seeds,Item,,4,3
Pumpkin Bars,Item,,6,8
Corn Bread,Item,,5,7
Pumpkin Soup,Soup,,10,17
Meringue,Item,,6,8
Cabbage Roll,Item,,14,28
Borscht,Item,,12,22
Goulash,Item,,16,36
Beetroot Salad,Item,,10,17
Candied Kumquats,Item,,6,8
Steamed Crab,Item,,6,8
Sea Lettuce,Item,,1,1
Deep Fried Shrimp,Item,,10,17
Tuna Roll,Item,,10,17
Fried Calamari,Item,,10,17
Crab Legs,Item,,11,19
Steamed Clams,Item,,11,19
Grilled Oysters,Item,,11,19
Anchovy Pizza,Item,,15,32
Mashed Potatoes,Item,,9,14
Baked Crepes,Item,,12,22
Cinnamon Roll,Item,,8,10
Croque Madame,Item,,14,28
Croque Monsieur,Item,,13,25
Dauphine Potatoes,Item,,12,22
Fried Frog Legs,Item,,6,8
Frog Legs,Item,,3,2
Ground Pork,Item,,1,1
Hashed Brown,Item,,2,1
Macaron,Item,,5,7
Quiche,Item,,12,22
Sausage,Item,,3,2
Sunny Side Eggs,Item,,5,7
Sweet Crepes,Item,,8,10
The Big Breakfast,ReferenceItem,,20,52
